Cargo,Local,Empresa,Descrição,Link
Cientista de Dados (Analista),"Rio de Janeiro, RJ",Morning Star Consulting,"Limpeza, organização, transformação e armazenamento de dados;Previsão de correlação entre amostras.Classificação de textos em linguagem natural;",https://tinyurl.com/ybzl65j4
Analista de Dados - Pleno,Remoto,A3Data,Experiência com Análise de Dados e formulação de problemas de dados.Experiência com implantação de arquitetura de dados e ferramentas de ETL.,https://tinyurl.com/y4bp2j34
Analista de Qualidade de Dados Sr,"São Caetano do Sul, SP",ViaVarejo,Vivência com ferramentas de mercado para implantação de qualidade de dados ou de gestão de dados mestres (MDM).Sua contribuição para algo maior é:,https://tinyurl.com/y2gtksod
ANALISTA DE INTELIGÊNCIA DE DADOS GO,"Goiânia, GO",Desenrola,. Criação e manutenção de Dashboard/Relatórios para monitoramento de indicadores das áreas e de negócio (em Power BI);O que esperamos de você:,https://tinyurl.com/y2mk7a34
Analista de Eng. de Dados,"São Paulo, SP",PayGo Pagamentos,Melhorar a qualidade e eficiência de processos de envio e transformação de dados;Experiência técnica em modelagem de dados e técnicas de segmentação;,https://tinyurl.com/y3yc4ya5
Analista de Dados Google Analytics pleno (remoto),Brasil,GeekHunter,"Para isso, contam com a inteligência e agilidade do time da InCuca para escalar e garantir um ambiente de alta performance, afim de liderar os mercados em que…",https://tinyurl.com/y25tg457
Data Analitic Professional/Analista de Dados,"São Paulo, SP",BT,Our mission is to break down the barriers of today to release the potential of tomorrow.Join us today and release yours.Skills required for the job.,https://tinyurl.com/ybfgc6cc
Analista de dados Jr.,"São Paulo, SP",2HRH | Hprojekt,Conhecimento em banco de dados e linguagem SQL;Bônus (de acordo com atingimento de metas).Experiência com ferramentas de versionamento de código: Git.,https://tinyurl.com/y4fayvpe
Analista de Processamento de Dados - PHP - Sênior,Remoto,Turim,"Plano de Carreira, Plano de Saúde para residentes de SP.Habilidades interpessoais de escrita e de comunicação verbal;Domínio de PHP, SQL e Excel;",https://tinyurl.com/y4rakw9u
ANALISTA DE BANCO DE DADOS III (cód: 638),"Vitória, ES",Recrutamento externo,"Realização de instalações, manutenções corretivas e preventivas, aplicação de patchs e análise de performance.Ensino Superior completo na área de Informática.",https://tinyurl.com/y6nzjssa
Analista de Processamento de Dados PHP,Remoto,Turim,A Turim é uma empresa de tecnologia especializada em soluções de inteligência fiscal.Ter habilidade para organizar arquivos de formatos diversos;,https://tinyurl.com/y4rv46ee
Analista de Segurança de Dados,"Brasília, DF",MIRANTE TECNOLOGIA,"Se sua missão é de garantir a segurança do seu cliente acima de tudo, você é o profissional perfeito para zelar pela confiabilidade do nosso novo projeto.",https://tinyurl.com/y3xayspy
Analista de Dados - Data Sheet,"Santana de Parnaíba, SP",Share RH,Realizar integração de informações em banco de dados;Irá realizar a modelagem de dados dentro do Google Data Sheet.Sólidos conhecimentos em Google Data Sheet;,https://tinyurl.com/yybkjb6x
Analista de Rede e Comunicação de Dados - Boa Vista,"Porto Alegre, RS",Mediartech,"Empresa de resolução de conflitos admite Analista de Rede e Comunicação de Dados em Porto Alegre (Boa Vista) para atuar em Tempo integral, 08h às 17h.",https://tinyurl.com/y5x2tdb8
Analista de Infraestrutura de TI PL (Banco de Dados),"Rio de Janeiro, RJ",Wilson Sons,Administrar e suportar as rotinas de backup de banco de dados;Experiência em administração do ambientes de banco de dados.Conheça Melhor a Wilson Sons!,https://tinyurl.com/y6pkmjjl
ANALISTA DE CIÊNCIA DE DADOS JÚNIOR,"Porto Alegre, RS",Agibank,Desenvolver e validar métodos de enriquecimento de dados;Conhecimento de trabalho ou estudo em linguagens de manipulação de dados como SQL e NoSQL;,https://tinyurl.com/yys4832m
Analista de Dados,"São Paulo, SP",Itaú Unibanco,"Condução de projetos de dados.O analista irá conduzirá frentes estratégicas de dados, sendo referência para o time na organização das atividades e no…",https://tinyurl.com/y6c79z3d
Analista Pleno de Banco de Dados - Bda,"Maringá, PR",CREFAZ FINANCIAMENTOS E INVESTIMENTOS,"Administração do ambiente de banco de dados em produção, ambiente de missão crítica, interagindo de maneira reativa e pró ativa junto às demais áreas da empresa…",https://tinyurl.com/y23akxna
Analista De Dados - RH - DV,"Igrejinha, RS",Divulga Vagas,"Experiência em manipulação de dados.Estruturação de dashboard, gerenciamento de relatórios;Desempenhar atividades com alto volume de tarefas analíticas e de…",https://tinyurl.com/y5mg2bpj
Analista de Arquitetura de TI III - Dados 2,"Blumenau, SC",Mazzatech,Conhecimento em ferramentas de integração com ênfase em soluções de iPaaS.EXPERIÊNCIA: Requisitos desejáveis / diferenciais: · Conhecimento em padrões de…,https://tinyurl.com/y2xonu8d
ANALISTA DE DADOS EPIDEMIOLÓGICOS - DV,"Brasília, DF",Divulga Vagas,"Atividades: Realizar análise de informações em saúde, leitura e codificação de prontuário, validação de banco de dados, análise de relatórios, entre outras…",https://tinyurl.com/yyht9eff
Analista de Dados Sr,"Curitiba, PR",Grupo Boticário,"Experiência com modelagem de bases de dados, transacionais e analíticas;Realizar interface com áreas técnicas e de negócios, afim de mapear necessidades e…",https://tinyurl.com/y5dnlcj7
Analista de Rede e Comunicação de Dados - PORTO ALEGRE - 1 V...,"Porto Alegre, RS",None,"Salário de R$ 1.900,00.Requisitos: Formação na área de TI.Jornada de Trabalho: Das 08h às 17h.Enviar currículo informando no assunto do e-mail a vaga de…",https://tinyurl.com/yy89v838
Analista de Dados,"Maringá, PR",Dicomp Distribuidora,"Apoiar na localização e definição de oportunidades de melhoria de processos.Identificar, analisar e interpretar tendências ou padrões em conjuntos de dados.",https://tinyurl.com/y36cpaeu
